Ingrediet Name,Ingredient Parent Name
"Egg noodles boiled, roughly broken",Boiled
"Fresh coriander leaves, finely chopped",Coriander
Egg boiled,Boiled
"Fish fillets boneless, cut into medium pieces",Boneless
Eggs soft boiled and peeled,Boiled
Tomato small,Small
"Lettuce leaves roman, roughly torn",Torn
Buttermilk thick,Thick
Red chilli flowers,Flower
Roasted cumin powder ¾ teaspoon,Teaspoon
"Dark chocolate chopped, melted",Melted
Sweet Corn boiled and crushed,Corn
Rose water (gulab jal),Jal
Mustard seeds powdered,Ed
Yellow capsicum cut into 1 inch triangles,Capsicum
"Potatoes boiled, peeled and cut into pieces",Peeled
Croissants,Croissant
Turmeric  Powder  / Fresh turmeric paste,Turmeric
Arugula lettuce leaves,Lettuce
Sundried tomatoes torn,Torn
Soya Chunks,Chunk
Roasted coriander seeds crushed,Crushed
Ladyfingers (bhindi) washed,Washed
Fennel bulb chopped,Bulb
green peas, pea
Cheese spread spiced,Spread
Jamuns chopped,Jamuns 
Pineapple sliced,Sliced
green olives pitted and chopped,Pitted
"cucumber medium, peeled",Medium
Milk for washing,Milk
Edamame (fresh soya beans),Bean
Split pigeon peas (arhar dal) soaked for ½ hour and drained,Soaked
Sev 2 tablespoons,Tablespoon
A pinch of red chilli powder,P
brioche slices,Slice
"Large potato boiled, peeled and cut into small cubes",Peeled
"Green chillies, slit",Slit
Spinach blanched chopped,Blanched
"Bread crumbs dried, brown",Brown
cashewnut-melon seed paste,Paste
Fresh yeast crumbled,Crumbled
onion medium chopped,Medium
"Carrots boiled, cubed",Cubed
Few shavings of truffle +,Shaving
Lobsters,Lobster
lemon oil,Oil
Green cardamom 2, cardamom
Raw mango  peeled,Peeled
Cucumbers cut into roundels,Cucumber
"Tomatoes blanched, peeled and  finely chopped",Blanched
Onion cut into round slices,Onion
Methkut q,Methkut
Shallots thinly sliced deep fried,Sliced
Cheese Philadelphia,Cheese
Baby fenugreek leaves cleaned and chopped,Cleaned
Juice of 1 lemon wedge,Juice
Cucumber seeded and cut into 1 inch pieces,Ed
"Onions , sliced",Sliced
Yogurt (Natural low-fat) chilled,Chilled
Vegetable stock warm,Warm
Sweet condensed milk Sweet,Sweet
Mint leaves fresh,Mint
Mixed Spices,Spice
Parboiled rice soaked and drained,Soaked
Ready samosa dough,Dough
White Chocolate chopped,Chocolate
Button mushrooms cut into thick slices,Mushroom
Babycorns cut into dices,Babycorns
Red cabbage diced,Diced
Apple roughly chopped peeled,Peeled
Pomfret cut into thick darnes,Pomfret
Pommery Mustard,Mustard
French beans cut into thick strips,Bean
Baguette medium,Medium
fresh mint leaves,Mint
Ripe elaichi bananas,Banana
Sagan ni sev,Sev
Nolen gur melted,Melted
"Onions ,finely chopped",Onion
Unsalted butter chopped,Butter
Bhajanee flour,Flour
Spring onion green juliennes,Onion
Cauliflower florets blanched in turmeric water,Blanched
Potatoes  peeled,Peeled
Ice,Ice
"Onion large, chopped",Onion
Blades of mace,Blade
Carrots scraped and roughly sliced,Scraped
Custard Apples Pulp,Pulp
Edible colours pink food colour,Colour
Boneless chicken cut into medium-sized cubes,Chicken
Almonds blanched and halved,Blanched
Saffron (kesar) 1 large pinch + for garnishing,Kesar
Potatoes boiled and diced,Potato
Bread Slices cut into roundels,Slice
"Onions cut into roundels, layers separated and soaked in",Separated
Pecan chopped,Pecan 
Pico de Gallo,Gallo
Carrot cut into ½ cm small cubes,Carrot
Readymade brownie pieces,Brownie
Green tomatoes finely chopped,Tomato
"Boneless chicken legs, cut into cubes",Leg
Fresh pineapple peeled and cut into slices,Peeled
"Tomato small, finely chopped",Tomato
Squids squids,Squid
Parboiled rice  washed and soaked for 4 hours,Washed
Edamame beans ½ cup + 3-4 for garnishing,Bean
Tomatoes cut into 8 thick slices,Tomato
Spring onion green 1/2 cup chopped+,Onion
"Kidney beans soaked overnight, drained and pressure cooked with",Bean
Cherry tomatoes roundels,Roundel
thick yogurt,Yogurt
Carrots peeled and cut into juliennes,Peeled
Syrup from the can of peaches,Syrup
Coconut oil for greasing and brushing,Oil
Medium onion finely chopped1,Onion
Babycorns cut into 1 inch pieces,Babycorns
Spring onion greensq chopped,Sq
Medium potatoes peeled and sliced,Peeled
Rice Soaked,Soaked
Split pigeon pea (toor dal/arhar dal) soaked overnight,Split
Potatoes peeled and cut into medium cubes,Peeled
Sugarcane sticks peeled (six inch),Peeled
Khus ki jad,Jad
Chicken Tikka chopped,Tikka
"almonds blanched, peeled and slivered",Peeled
Whole wheat flour (atta) chapattis,Flour
Cauliflower parboiled,Parboiled
Walnuts  chopped,Walnut 
Almonds skinned,Skinned
Toor dal soaked for 30 minutes,Soaked
Onions  finely chopped,Onion
"Split Bengal gram (chana dal) soaked and drained,",Split
Green Capsicum cut into triangles,Capsicum
Tzatziki,Tzatziki
"Medium potato boiled, peeled and cut into small pieces",Peeled
Refined flur,Flur
Goda masala powder,Masala
Boneless chicken breast cut into strips,Breast
Pita breads halved and pockets opened up,Pocket
Mutton cut into ½ inch pieces,Mutton
Spring Onions finely chopped,Onion
Pasta spinach farfalle,Farfalle
"Oyster mushrooms soaked and sliced dried,",Soaked
Juice of ? lemon,Juice
"Rice washed, soaked and drained",Washed
Subzi masala,Masala
papad khar,Khar
Medium onion peeled,Peeled
Coconut sugar (palm sugar),Sugar
Oranges peeled and quartered,Peeled
Poppy seeds roasted,Roasted
Brinjals quartered and soaked in water,Quarte
Split Bengal gram (chana dal) soaked for 1-2 hours and drained,Split
Red capsicum seeded and cut into dices,Ed
Yogurt low fat,Fat
Green Tea, tea
Brown pressed rice (poha),Pressed
Yogurt  whisked  4 tablespoons + 4 teaspoons,Whisked
Potatoes Boiled peeled And Grated,Peeled
Indian Salmon,Salmon
Whole wheat flour (atta) A little dry,Atta
"Fish fillets boneless, white, cut into fingers",White
Chinese cabbage roughly chopped,Cabbage
For roti,For
Barley soaked overnight & drained,Drained
Milk / Dark chocolate,Milk
Wheat soaked in hot water for 2-3 hours  and pressure cooked till 10 whistles,Wheat
Lamb Chops,Chop
Chicken    cut into 1 inch pieces on the bone,Chicken
Glass Noodles,Noodle
basmati rice soaked for 30 minutes and drained,Soaked
Oil for dipping and,Oil
"Large potato boiled, peeled and mashed",Peeled
Almonds soaked and peeled,Soaked
Whole chicken,Chicken
Chaat masala 1/2 tsp +,Tsp
Red kidney beans (rajma) soaked,Soaked
Fresh basil leaves 6-8 +,Basil
Canned tuna,Tuna
Paneer (cottage cheese) cut into batons,Cheese
Parboiled rice (ukda chawal) soaked for 8-10 hours and drained,Soaked
Rum Dark,Dark
Enoki mushrooms chopped,Mushroom
"Green chillies slit, 2 +",Slit
For powder,For 
sweet chilli sauce,Sauce
"Oil,shallow fry",Fry
white sesame seeds roasted,Roasted
Boneless Mutton 1 inch cubes,Cube
French Bread,Bread
"Pistachios chopped, 1 tablespoon +",Pistachio
Ghee 2 tablespoons +,Tablespoon
Pani puri masala,Masala
Port wine,Wine
Green capsicum cut into ¼ inch pieces,Capsicum
1 teaspoon caraway seeds (shahi jeera),Caraway
Punjabi Wadis deep fried and soaked in water,Wadi
Fried green chillies to serve,Fried
"Jalapenos pickled, sliced",Sliced
Morrel mushrooms soaked,Soaked
Coconut dried grated,Grated
Small onions roundels,Roundel
Split Bengal gram washed,Washed
Curry leaf sprig fried,Curry
Pomfrets cleaned and slit on one side to make a pocket,Cleaned
Fish fillets boneless,Boneless
Small green zucchini cut into trianglesq,Zucchini
Basil leaves 5-6 + for garnishing,Basil
Green capsicum thick strips,Strip
"Potatoes medium, boiled, peeled and grated",Peeled
Figs soaked and pureed,Soaked
Chicken on bone cut into pieces,Chicken
Black sesame seeds (kale til) toasted,Til
Basmati rice soaked in water for 15 minutes and drained,Soaked
Boneless chicken cut into ½” pieces,Chicken
Celery stick chopped,Stick
Kalakand readymade,Readymade
Boneless chicken cut into 1½-2 inch pieces,Chicken
Croissant dough,Dough
lemon flavoured pepper,Pepper
Black gram sattu,Sattu
Olive oil 1 teaspoon + for drizzling and,Teaspoon
Amchur Powder,Amchur 
Fresh coriander leaves finely chopped 2 tbsp + 1 sprig for garnishing,Coriander
"Paanch phoran [pinch of fenugreek seeds (methi dana), ¼ tsp must",Must
Pak choi,Choi
Palak chopped,Palak 
"Carrot medium, grated",Medium
Thandai mixture,Mixture
"Ripe mangoes peeled, cut into wedges and frozen for 2-3 hours",Peeled
Green brinjals quartered lengthwise and soaked in water,Quarte
Large Bhavnagri green chillies slit on side only and seeds removed,Slit
Boneless chicken legs Cut into 1 1/2 inch pieces,Leg
sour dough bread,Bread
Readymade Tart Shells toasted and chopped walnuts  1 cup + for garnishin,Toasted
Green Cardamom Powder, cardamom 
Green capsicum A few thin strips,Capsicum
Bottle gourd (lauki/doodhi) peeled and cut into small cubes,Peeled
"Onion small, cut into dices",Onion
Cabbage cut into 1 inch pieces,Cabbage
Muskmelon seeds,Muskmelon 
Black and green grapes finely chopped,Grape
Strawberry Jelly,Jelly
Hot oil,Oil
Galangal finely chopped,Galangal
Cabbage Leaves,Cabbage 
Vanilla ice cream scoops,Scoop
Red bell pepper cut into medium pieces,Pepper
Pomfret 250 grams each,Gram
Butter 2-3 tablespoons,Tablespoon
brown sugar/jaggery 2 teaspoons +,Teaspoon
Dried red chillies diagonally sliced,Chilli
Ragda readymade,Readymade
Split black gram flour (urad dal ka atta) soaked and drained,Soaked
"Capsicum mixed, triangles",Triangle
Lemon grass stalk sliced,Sliced
Gongura leaves chopped,Gongura  
Fettuccine boiled,Boiled
Long Penne Pasta boiled,Pasta
Rind of lemon,Rind
Sichuan Sauce,Sauce
Cranberries dried chopped,Dried
Medium cucumbers,Cucumber
Pomegranate juice,Juice
"Cauliflower medium, separated into medium sized florets",Separated
Fresh parsley leaves,Parsley
Seedless dates soaked for 1 hour,Date
Red chillies deseeded,Deed
Split red lentils (masoor dal) soaked overnight,Split
Chana Dal soaked,Soaked
"Bananas peeled, sliced",Peeled
Oil 1 tablespoon + for shallow-frying and greasing,Tablespoon
Butter 2 tablespoons,Tablespoon
Mozzarella cheese  grated,Grated
chana chor garam 1-1½ cups,Garam
Small potatoes halved,Halved
Green chillies deseeded & chopped,Deed
chocolate hazelnut sauce,Sauce
Baby corn chopped,Corn
Dark chocolate cream biscuits,Biscuit
Icing-,Icing
Amaranth  (rajgira) flour,Flour
Sesame paste,Paste
Coloured peppers cut into cubes,Pepper
Chicken breast with skin,Breast
Soya beans soaked for 4 hours and drained,Bean
Dried green tea leaves,Tea
Digestive biscuits finely crushed,Biscuit
Lettuce halved,Halved
tomato large,Tomato
Pineapple Slices,Slice
Capsicum cut into medium sized pieces,Capsicum
Bamboo shoots canned,Canned
"mushrooms dried chanterelle, soaked",Dried
Pistachios   slices for garnish,Slice
Dried fenugrrek leaves,Fenugrrek
Bread slices leftover,Slice
Zucchini cut into roundels and halved,Zucchini
Yellow bell pepper deseeded and cut into triangles,Deed
"Rice soaked for 30 minutes, drained",Soaked
Lamb cut into 2 inch cubes on the bone,Lamb
Basmati rice soaked and boiled,Soaked
Dried mango pieces,Mango
Chilli -,Chilli
A sprig of coriander for garnish,Sprig
Soya bean chunks soaked and drained,Soaked
dried coconut slices,Slice
"Medium cucumbers peeled, sliced and halved",Peeled
Lemon cut into thin slices,Lemon
Dry ginger,Ginger
Rice (kolam) boiled,Boiled
Zest of 2 oranges,Zest
"Ginger,crushed",Crushed
Chocolate Sponge Cake,Cake
chopped garlic, garlic
grain sugar,Sugar
Readymade dough  for sealing,Dough
Fish Fillets cut into 1½ inch cubes,Fillet
Spinach leaves chopped,Spinach  
Bean sprouts boiled,Boiled
Gatte steamed and fried,Steamed
soda bi carbonate,Carbonate
Puff Pastry readymade,Readymade
Small onion diced and layers separated,Separated
Macaroni Cooked,Cooked
For sauce :,For
Black olives stoned and sliced,Stoned
Ppastry dough short crust,Dough
"Potato large, boiled, peeled and grated",Peeled
Dried apricots finely chopped,Apricot
Sorghum (jowar) soaked overnight,Soaked
Fish stock ½ cup + for making slurry,Stock
Medium carrot cut into small cubes,Carrot
Melted butter 1 cup + for greasing,Butter
Chatpata spice powder,Spice
Cashew nuts slivered,Slive
Medium beetroot boiled and peeled,Boiled
Fresh cream  for drizzling,Cream
"Beetroots boiled, peeled and cut into small pieces",Peeled
Multigrain bread  toasted and cut into triangles,Toasted
Fresh turmeric paste,Paste
Digestive biscuits	 crushed,Crushed
Finely Chopped Green Chilli,Chilli
Red chilli oil,Oil
Sponge cake dark,Dark
Fresh parsley chopped 1 sprig for garnishing +,Parsley
Green layer, layer
"Cucumber peeled, seeded and finely chopped",Peeled
Fresh cream 1/2 cup + for drizzling,Cream
Cornflakes beaten,Beaten
Castor,Castor
Dried red chilli-ginger-garlic paste,Paste
"Cashewnuts roasted, chopped",Roasted
Bombay ducks (bombil),Bombil
Fresh coriander leaves chopped 2 tablespoons +,Tablespoon
"Onions, cubed",Cubed
"Pumpkin peeled, pressure cooked and pureed",Peeled
Fried besil leaves,Besil
Castor sugar (caster sugar) ¾ cup + 2 teaspoons,¾
Butter 30 grams + for greasing and brushing,Gram
"Tiger prawns shelled, deveined and slit into butterflies",Shelled
Tortilla,Tortilla
Pressed rice (poha) soaked and drained,Pressed
"Tomatoes medium, pureed",Pureed
Carrots cut into 1/2 inch pieces,Carrot
Oil 1 tablespoon + for greasing +,Tablespoon
kolam rice soaked for ½ an hour,Soaked
Sauce :,Sauce
coarse salt,Salt
Cumin powder Roasted,Roasted
Apple juice chilled,Chilled
Red capsicum  diced,Diced
Coconut Chutney,Chutney
"Medium potatoes boiled, peeled and quartered",Peeled
Fresh green peas shelled,Shelled
Masala chai,Chai
Tofu cut into cubes (fresh),Tofu
Boneless Chicken cut into thin slices,Chicken
Jelly mix,Mix
FOR COATING,For
Large onion,Onion
Medium green capsicum seeded and chopped,Ed
Large onions finely chopped,Onion
Whole egg,Egg
Onions cut into round slices,Onion
Cherries halved,Halved
Potatoes medium,Medium
Crushed cashewnuts,Cashewnuts
Medium carrot finely chopped,Carrot
Fresh Toovar Dana boiled in water with salt,Dana
Onions peeled and ground,Peeled
Sugar Cooked Plum,Cooked
"Chickpeas (kabuli chana) soaked, boiled and peeled",Soaked
ghee + for greasing,Ghee
Cinnamon  broken,Broken
Vanilla extract,Extract
Lemongrass stem,Stem
Potatoes peeled and mashed,Peeled
Chaat masala 1 tsp +,Tsp
Ladyfingers trimmed,Trimmed
Pomelo peeled,Peeled
Boneless fish cut into 1 inch cubes,Fish
Green cardomom, cardomom
Babycorn diagonally sliced and blanched,Sliced
Fresh parsley chopped for garnishing,Parsley
Some thin strips of ginger for garnish,Strip
Refined flour dough for sealing,Dough
Black pepper powder  crushed,Crushed
"Fresh parsley chopped, 2 tablespoons + few sprigs for topping",Parsley
Oil 1 teaspoon + 1 tablespoon +,Tablespoon
Black eyed beans soaked for 8 hours,Bean
Brown pav,Pav
Fresh coriander leaf sprigs,Coriander
Sour dough starter,Starter
Black Bengal gram (kala chana),Chana
tomato medium,Medium
For aloo bhaji,For
Capsicum mixed strips,Strip
Blanched pistachio  slivered,Slive
Mackerels halved,Halved
Green chillies finely choppd,Chilli
Yellow squash small cubes,Cube
Mixed fruit jam  for topping,Jam
Boneless Mutton  cut into small pieces and pressure-cooked with sal,Mutton
Baby carrots halved,Halved
Split Skinless Black Gram 1/4 teaspoon +,Split
Mixed fruit jam mixed with 1 tbsp water,Jam
Mangoes ripe,Ripe
Carrots 1/2 inch pieces,Carrot  
Refined Flour 2 1/2 cups,Flour
Fresh cream for drizzling,Cream
Split Bengal gram (chana dal) Soaked in water for 3-4 hours,Split
Yellow bell pepper grilled,Grilled
Butter ¼ cup,¼
Parwar,Parwar
Split skinless green gram (dhuli moong dal) washed and soaked for 2 hours,Dal
"Chanterelles mushrooms, finely chopped",Mushroom
Rye bread,Bread
"Large sweet potato boiled, peeled and grated",Potato
Coriander powder chopped,Coriander  
King Fish cut into 1 inch pieces,Fish
Frozen green peas blanched,Pea
Bottle gourd (lauki/doodhi) medium,Medium
Oil 3 tablespoons,Tablespoon
Refined flour (maida) 1 cup + 1,Maida
Plain chocolate,Chocolate
Jal jeera powder,Jeera
Boneless chicken breast cooked with salt and herbs,Breast
Medium yellow capsicum diced,Diced
Refined Flour kneaded into dough with carom seeds,Kneaded
Grated khoya,Khoya
Dal leftover,Leftover
Yellow capsicum seeded and diced,Ed
Olive oil 6 tablespoons + for drizzling,Tablespoon
Saffron (kesar) apinch of,Ap
Red bird’s eye chillies,Chilli
Mutton 1 1/2 inch pieces,Mutton  
Cucumber thinly sliced,Sliced
Castor sugar (caster sugar) ¼ cup,Sugar
Plum salsa,Salsa
2-3 dried red chillies,Dried
"Pointed Gourd (potol), peeled and cut into thick strips",Potol
Medium potato peeled and cubed,Peeled
Dried white peas soaked for 6-8 hours,Pea
Processed cheese grared,Gra
Chopped gherkins, gherkin
Oil 1 tablespoon + 8 teaspoons,Teaspoon
Sugar A pinch of,Sugar
"Fresh coriander leaves finely chopped, 2 teaspoon +",Coriander
Tangy sauce:,Sauce
Onions pureed,Pureed
Red velvet cakes,Cake
Boneless Chicken Breasts halved,Halved
Fresh bathua,Bathua
Rock candy (khadi sakhar) broken,Broken
White chocolate finely chopped,Chocolate
"Broccoli florets, 10-15 + for garnishing",Floret
Butter icing,Icing
"Raw banana peeled, cut into 1 inch thick strips and soaked in",Peeled
"Yogurt, whisked",Whisked
Masala,Masala
Fresh spinach shredded,Shded
Mexican chilli powder,Chilli
Dough Refined flour (maida),Refined
Small tomatoes seeded and finely chopped,Ed
Medium tomatoes halved,Halved
Cottage cheese (malai paneer) grated,Grated
Yellow spread,Spread
Dried red chillies seeded and sliced,Dried
Medium white onions cut into cubes,Onion
Leftover baingan bharta,Bharta
mini idlis,Idlis
Refined Flour soaked in water,Flour
Brinjal roasted and peeled,Roasted
Green Capsicum cut into thin strips,Capsicum
Medium long eggplants,Eggplant
¼ teaspoon turmeric powder,Turmeric
Fresh cream (malai),Malai
Boneless mutton cut into 2 inch pieces,Mutton
Zucchini cut into 1 inch thick rounds,Zucchini
Butter 8 tablespoons + 1 teaspoon,Teaspoon
Paneer cut into ½ inch cubes,Paneer
Small white pizza bases,Base
Whole red lentils (sabut masoor) soaked overnight,Soaked
Sundried Tomatoes,Tomato
Green zucchini grated,Grated
Bikaneri sev,Sev
Chocolate chips orange,Orange
Spring Onions With Greens,Onion
Silken bean curd,Curd
Mint powder,Mint 
"Lamb leg pieces (nalli) and mutton, cut into bite size pieces",Leg
Firm beancurd (tofu),Tofu
Few fresh coriander sprigs,Sprig
Bengal gram water (chana dal water),Water
Bread Loaf,Loaf
Whole what flour rotis,What
Sweet potato mashed,Mashed
"Split Skinless Black Gram soaked for 4 hours, drained and boiled with turmer",Split
Soya granules soaked in warm water for 30-45 minutes,Granule
Jaggery (gur)	 grated,Grated
Spring onion roughly chopped,Onion
Tomato salsa,Salsa
Fenugeek Leaves finely chopped,Fenugeek
Eggs hard-boiled and peeled,Egg
Cottage Cheese (paneer) grated,Grated
Eggless Noodles boiled,Boiled
Chia seeds roasted,Roasted
Green chillies  roughly chopped,Chilli
Beaten eggs,Egg
Figs Chopped,Fig 
For kadhi,For
Cashew yogurt,Yogurt
Skinless Split Black Gram,Gram
Oil 1 tsp + for shallow-frying and greasing,Tsp
Fresh fenugreek leaves (methi) roughly chopped,Fenugreek
"Onion peeled, cut into cubes and layers separated",Peeled
Green chlli paste,Paste
Oil 1 tablespoon + for brushing,Tablespoon
Ghee 2-3 tablespoons,Tablespoon
Sprigs of thyme,Sprig
Cheese slices halved,Halved
silken tofu,Tofu
Chinese cabbage 1 inch pieces,Cabbage
Dried prunes,Prune
Spinach blanched and roughly chopped,Blanched
"Walnuts California, chopped",California
Kiwi pieces,Kiwi 
White sesame seeds(safed til),Safed
Split Skinless Green Gram with Skin soaked,Split
Dried red round chillies,Chilli
"Egg whites hard-boiled, cut into wedges",White
button mushrooms sliced,Sliced
Minced mutton (keema),Keema
"Split black gram skinless (dhuli urad dal) soaked for 4 hours and drained,",Dal
Sago (sabudana) soaked for 2-3 hours and drained,Soaked
Potato peeled and grated,Peeled
Boneless chicken legs cut into 1 inch cubes,Leg
Dried red chillies soaked for 15 minutes,Dried
Crumbled Feta Cheese 1 tablespoon + for drizzling,Crumbled
Split pigeon pea (toor dal/arhar dal) cooked,Split
Aloe vera leaves,Vera
Polenta short crust dough,Dough
Chutney frosting,Frosting
Green gram sprouts (ankurit moong) boiled with salt,Boiled
Sugar cube,Cube
White Vinegar,Vinegar
Chicken wings skinned,Skinned
Celery including leaves chopped,Celery
Dark soy sauce 1 tablespoon +,Tablespoon
"Chicken on bone, cut into 12 pieces",Chicken
Squids cut into thick rings,Squid
Pomfret heads removed,Removed
Brinjal sliced,Sliced
Savoury crispies,Crispies
Small green zucchini,Zucchini
Castor sugar (caster sugar) ½ cup + 1,Sugar
"Red pumpkin peeled, quartered and sliced thinly",Peeled
khus ki jadh,Jadh
Whole wheat flour chapattis,Chapatti
Peanuts roasted and roughly chopped,Roasted
Cabbage leaves blanched,Blanched
Cooking spray or butter,Spray
Red chilli-garlic chutney for drizzling,Chilligarlic
Pine nuts(chilgoza) chopped,Chilgoza
Pickled onions finely chopped,Onion
tomatoes chopped,Tomato 
Fresh cream optional,Optional
Canned apricots pureed,Pureed
Oil 1 teaspoon + for drizzling,Teaspoon
Babycorn grilled,Grilled
Soya Nuggets soaked in warm water for 10-15 minutes,Nugget
Kiwi peeled and cut into cubes,Peeled
Oil 1 tablespoon + for deep frying,Tablespoon
Cauliflower small florets blanched,Blanched
Whole Wheat Tortillas,Tortilla
"Coconut fresh, scraped",Scraped
Sugar ½ cup,Sugar  
Thyme Chpped,Chpped
"Onion red, finely chopped",Onion
Mozzarella cheese chopped,Cheese
Thai chilli sauce,Sauce
Chai masala,Masala
Tamarind medium size ball,Ball
Sweet potato boiled peeled and mashed,Peeled
Small green capsicum finely chopped for topping,Capsicum
Second dip,Dip
Split Bengal gram (chana dal) soaked for 2 hours and cooked,Split
Peanuts deep fried,Fried
Schezwan sauce to serve,Sauce
Garlic finely choppd,Choppd
Coriander chutney:,Chutney
Onions deep-fried,Deepfried
Guava Juice,Juice
Carrots baby,Baby
coriander leaves handful of,Coriander
Purple yam peeled and cubed,Peeled
Kasoori Methi,Methi
Herbed Rice,Rice
Green olives chopped, olive 
Italian sausage cut into diamonds,Sausage
Full milk powder,Milk
Kashmiri red chillies broken,Broken
White sesame seeds (safedtil),Safedtil
Fresh coriander medium bunch,Bunch
Boneless fish cut into large pieces,Fish
Coarsely grated garlic,Garlic
Spring onion bulbs with stems,Bulb
Nutralite 3 tablespoons + for shallow-frying,Tablespoon
Peppermint essence,Essence
Boneless chicken breasts leftover and grilled,Leftover
Green chillies thinly sliced vertically,Sliced
Red kidney beans (rajma) soaked for 6-8 hours and drained,Soaked
"Onion rouhgly chopped, 1 sprig",Sprig
Mussels (tisre) shelled,Shelled
Tomatoes seeded and cubed,Ed
Dried oregano for sprinkling,Oregano
Scraped coconut for garnish+,Scraped
Bottle gourd (lauki/doodhi) peeled and grated,Peeled
dried onion flakes,Flake
turmeric leaves halved,Turmeric
Spring onions with greens 1-2 finely chopped +,Onion
Orange Rind grated,Rind
Onions sliced finely,Sliced
Boneless chicken cut into 1/2 inch pieces,Chicken
Tinned pineapple syrup,Syrup
Refined flour (maida) 325 grams +,Gram
Punjabi Urad Dal Wadis,Wadi
Garam masala powder to sprinkle,Masala
Split Bengal gram (chana dal) soaked for 5-6 hours and drained,Split
Chicken cut into 12 pieces on the bone,Chicken
Onion cut into dices,Onion
Whole black gram (sabut urad) soaked for 4 hours and drained,Soaked
Shelled green peas blanched,Shelled
Sev puris,Puris
Tinned Corn Kernels,Kernel
Yellow capsicum roasted,Roasted
Refried beans mashed,Mashed
Milk 1 teaspoon + ½ cup,Teaspoon
Raw Papaya peeled and grated,Peeled
Bagel,Bagel
Mixed nuts roughly chopped,Nut
Spring onions roughly chopped,Onion
Mutton cut into medium sized pieces on the bone,Mutton
Coffee pod,Pod
Footlong bread,Bread
Thin strips of red bell capsicum for garnishing,Strip
"Pasta shells, boiled",Boiled
Peaches tinned,Tinned
Yellow pumpkin peeled and cut into small cubes,Peeled
Crushed black peppercorn,Peppercorn
"Onions cut into thick roundels, layers separated and soak",Separated
Powdered sugar 2-3 tablespoons +,Tablespoon
Wholewheat penne pasta,Pasta
Fruit Cake,Cake
Romaine lettuce leaves roughly torn,Torn
"Medium potatoes (aloo) boiled, peeled and mashed",Boiled
CHEESE FROSTING:,Frosting
Whole masoor dal soaked for 1 hour and boiled with salt and turmeri,Soaked
Runner beans (chavli) cut into 1 inch pieces,Chavli
"2-3 green chillies, chopped", chilli 
Pistachios Blanched and sliced,Blanched
"Lettuce leaves romaine, torn",Torn
Blanched and sliced pistachios,Blanched
Breadcrumbs for sprinkling,Breadcrumb
1 flower made with spring onion bulb,Flower
Yogurt 1/4 cup (63 grams),Gram
"Raw bananas boiled along with skin, peeled and grated",Banana
Red cherry tomatoes cut into half,Tomato
Ghee 2 tablespoons,Tablespoon
Gualb Jamun,Jamun
Ripe alphonso mango  peeled,Peeled
Soya granules  soaked and drained,Soaked
Dried tarragon,Tarragon
Fresh mint leaves shredded,Shded
White sesame seeds 1 teaspoon,Teaspoon
Split green gram skinless (dhuli moong dal) soaked and drained,Split
Black peppercorns  coarsely crushed,Peppercorn
Black sesame seeds for coating,Sesame
"Potatoes boiled, peeled and cut into 1 inch cubes,",Peeled
"Apples red, cored and cut into cubes",Into
For Tartare Sauce,For
Whole almonds slivered,Slive
Ripe Mango,Mango
Quinoa rinsed,Rinsed
Ripe mango puree 1 cup +,Puree
"Mixed nuts (almonds, cashewnuts) chopped",Cashewnuts
Button mushroom,Mushroom
Lalmaat,Lalmaat
Button Mushroom quartered,Quarte
Roasted cumin powder 1/2 teaspoon +,Teaspoon
Garlic cloves finely sliced,Clove
Ghee 1½ teaspoons +,Teaspoon
Castor sugar (caster sugar) (70 grams),Gram
Brokenwheat,Brokenwheat
Iceberg lettuce leaves refreshed in ice cold water,Refreshed
Capsicums mixed strips,Strip
CHUTNEY:,Chutney
"Onion large, cut into roundels",Onion
"Rice noodles boiled, soaked in warm water",Noodle
Fresh custard apple (sitaphal) pulp,Pulp
Cloves sliced,Sliced
For Batata Bhaji,For
White Bread slices peeled and thinly sliced,Slice
Oil for greasing + for deep frying,Oil
Banana leaves cut into 8 pieces,Into
Whole wheat pasta boiled,Boiled
Brinjal Roasted and peeled,Roasted
Potatoes boiled peeled and cut into 1 inch cubes,Peeled
Mango peeled and cut into thick strips,Peeled
A few saffron strands soaked in 1 tsp water,Strand
For Topping,For
Dagad phool,Phool
Medium tomatoes ground to a fine puree,Ground
Skimmed Milk Yogurt,Skimmed
Cinnamon stick broken,Broken
Tofu thinly sliced,Sliced
Calcutta paan,Paan
"Lemon zest grated, of 2 lemons +",Grated
long pepper (pipli),Pipli
A pinch of cardamom powder,P
Dressing -,Dressing
Cucumber peeled and cut into thin strips,Peeled
Saffron flavoured sugar syrup of one string consistency,Syrup
Raspberry syrup,Syrup
Philadelphia cheese,Cheese
Gum resin,Resin
Spinach leaves (palak) blanched and drained,Blanched
Orange layer,Layer
Cucumber raita,Raita
edible dust colourful,Colourful
A pinch red chilli powder,Chilli
Apples finely chopped,Apple
"Ripe mango chopped, frozen",Frozen
12-16 black peppercorns,Peppercorn
Chickpeas soaked for 6-8 hours and drained,Chickpea
Stock cube crushed,Crushed
Red kidney beans (rajma) paste,Paste
Lemon segments,Segment
Salted Caramel,Caramel
Boneless chicken breasts cut into ½ inch pieces,Breast
Oil 2 tbsps + 1 tsp,Tsp
Fresh coconut scraped  3 tablespoons,Scraped
"Pistachios slivered, 8-10 + for garnish",Slive
Petha (sweet) canned,Canned
